Wall time,Step,Value
1524840151.350542,0,2.10062313079834
1524840205.420276,1,1.96832275390625
1524840257.6698701,2,1.945860505104065
1524840308.728995,3,1.927321434020996
1524840357.1893451,4,1.901116132736206
1524840409.5229938,5,1.8727352619171143
1524840460.770026,6,1.8393462896347046
1524840511.048618,7,1.8131788969039917
1524840562.0011039,8,1.7973231077194214
1524840614.9993112,9,1.7846757173538208
1524840670.515619,10,1.7746853828430176
1524840719.5142841,11,1.7661556005477905
1524840770.2008388,12,1.7590726613998413
1524840825.172361,13,1.752280354499817
1524840875.916789,14,1.745667576789856
1524840926.279828,15,1.740013837814331
1524840976.386476,16,1.7345495223999023
1524841027.895,17,1.7293411493301392
1524841078.160568,18,1.7244082689285278
1524841128.823238,19,1.7198138236999512
1524841183.692493,20,1.7149264812469482
1524841236.478067,21,1.7108190059661865
1524841286.442305,22,1.706744909286499
1524841337.541065,23,1.7027498483657837
1524841387.2487428,24,1.6988667249679565
1524841435.717966,25,1.6953825950622559
1524841485.065753,26,1.692206859588623
1524841534.250422,27,1.6889100074768066
1524841585.831865,28,1.685871958732605
1524841636.072483,29,1.683159589767456
1524841690.5701828,30,1.6804356575012207
1524841742.18459,31,1.6780160665512085
1524841798.596023,32,1.6755611896514893
1524841853.230365,33,1.6730334758758545
1524841907.6992562,34,1.6709002256393433
1524841964.2797272,35,1.6689398288726807
1524842025.6067042,36,1.6666465997695923
1524842079.199546,37,1.6648736000061035
1524842131.290741,38,1.6629725694656372
1524842189.55161,39,1.6607922315597534
1524842238.318867,40,1.6590651273727417
1524842286.155498,41,1.6573318243026733
1524842339.208978,42,1.6556360721588135
1524842390.0184178,43,1.653851866722107
1524842439.887973,44,1.6521856784820557
1524842490.3108768,45,1.6506398916244507
1524842541.7132611,46,1.648961067199707
1524842593.120065,47,1.647486686706543
1524842645.975337,48,1.6459766626358032
1524842700.323114,49,1.644295334815979
